INDEX,TIME_PERIOD,REF_AREA,SAT_DEM,TRUST_CL,TRUST_LE,TRUST_NG,EMPW_PARL,EMPW_SMP,WBS,PerWBSU5
0,2021,AUS,,52.6,37.35,38.0,31.1,,,
1,2021,AUT,,59.97,31.07,25.8,39.9,40.5,8.0,3.462863341
2,2021,BEL,,51.09,32.6,31.8,42.0,25.3,7.5,3.236109018
3,2021,CAN,,55.66,43.73,44.7,29.6,,7.9,2.8
4,2021,CHE,90.56,,,,42.0,,,
5,2021,COL,,19.12,11.0,20.5,18.8,,,
6,2021,CZE,58.09,,,,23.0,28.3,7.3,6.147288531
7,2021,DEU,57.37,,,,31.5,30.2,7.2,9.655242413
8,2021,DNK,,78.12,50.92,48.8,39.7,26.4,7.3,8.976695687
9,2021,ESP,38.86,,,,44.0,43.1,7.2,7.455146313
10,2021,EST,54.68,64.61,40.03,46.5,27.7,48.5,7.2,6.807089597
11,2021,FIN,84.62,,52.88,61.5,46.0,56.3,7.9,2.514689788
12,2021,FRA,48.32,41.7,26.44,28.1,39.5,31.1,6.8,8.99553448
13,2021,GBR,,68.07,34.16,34.8,33.9,34.8,7.54,5.08
14,2021,GRC,44.53,,,,21.7,56.4,6.8,11.23000011
15,2021,HRV,27.51,,,,31.1,57.6,,
16,2021,HUN,46.4,,,,12.6,18.7,6.5,11.73693612
17,2021,IRL,,68.06,50.64,50.6,22.5,33.3,7.3,6.600649655
18,2021,ISL,74.42,52.69,47.04,50.4,39.7,50.0,,
19,2021,ITA,48.01,,,,35.7,32.1,7.2,6.660684943
20,2021,JPN,,48.34,19.29,24.0,9.9,,5.74,25.58272831
21,2021,KOR,,49.06,37.29,48.8,19.0,,,
22,2021,LTU,43.92,,,,27.7,52.2,7.0,9.340655804
23,2021,LUX,,72.28,50.61,55.9,31.7,28.1,7.4,5.776032433
24,2021,LVA,,44.0,20.72,24.5,29.0,55.0,6.7,8.219178766
25,2021,NLD,69.41,68.99,43.25,49.1,33.3,39.9,7.6,3.155307472
26,2021,NOR,86.65,80.86,66.35,63.8,44.4,39.7,,
27,2021,NZL,,64.83,47.21,,48.3,,7.7,4.8
28,2021,OECD_REP,36.5,56.94,39.35,41.4,32.02,,,
29,2021,POL,24.15,,,,28.3,45.2,7.5,
30,2021,PRT,52.27,42.03,39.82,40.7,40.0,50.8,7.0,8.661753684
31,2021,SVK,30.75,,,,22.7,49.8,7.1,
32,2021,SVN,30.94,,,,26.7,57.1,7.5,4.203914106
33,2021,SWE,64.69,56.67,44.03,39.0,47.0,48.9,7.5,5.224746466
